Seed,Density,Execution ,Path Length,Visited,,,,,,,,Computational,time mean,time median,op mean,op median,time stdv,op stdv,,,Execution Time
58,0.386,356.6355705,0,99,,,,,,,,27.75942957,,,,,,,35663.55705,,3.566355705
61,0.412,319.1571236,0,4,,,,,,,,1.253301181,,,,,,,31915.71236,,3.191571236
64,0.4815,318.5389042,30,57,,,,,,,,17.89420358,,,,,,,31853.89042,,3.185389042
67,0.3645,265.838623,5,83,,,,,,,,31.22194927,,,,,,,26583.8623,,2.65838623
68,0.517,533.1556797,0,29,,,,,,,,5.439311838,,,,,,,53315.56797,,5.331556797
69,0.5005,551.1825085,0,79,,,,,,,,14.33282058,,,,,,,55118.25085,,5.511825085
70,0.36,346.4450836,0,112,,,,,,,,32.32835601,,,,,,,34644.50836,,3.464450836
71,0.514,383.6700916,13,78,,,,,,,,20.32996622,,,,,,,38367.00916,,3.836700916
73,0.3495,309.3168736,0,79,,,,,,,,25.5401521,,,,,,,30931.68736,,3.093168736
75,0.405,242.358923,2,64,,,,,,,,26.4071152,,,,,,,24235.8923,,2.42358923
76,0.4275,376.6648769,0,48,,,,,,,,12.74342338,,,,,,,37666.48769,,3.766648769
77,0.3725,345.6320763,0,102,,,,,,,,29.51114986,,,,,,,34563.20763,,3.456320763
78,0.434,373.262167,0,5,,,,,,,,1.339541063,,,,,,,37326.2167,,3.73262167
79,0.3525,305.0920963,0,83,,,,,,,,27.2049001,,,,,,,30509.20963,,3.050920963
82,0.4895,573.1301308,0,79,,,,,,,,13.78395512,,,,,,,57313.01308,,5.731301308
84,0.33,353.5161018,0,133,,,,,,,,37.62204871,,,,,,,35351.61018,,3.535161018
85,0.4345,374.560833,23,94,,,,,,,,25.09605696,,,,,,,37456.0833,,3.74560833
86,0.3915,390.6869888,0,66,,,,,,,,16.89331918,,,,,,,39068.69888,,3.906869888
90,0.4385,304.4495583,17,75,,,,,,,,24.6346227,,,,,,,30444.95583,,3.044495583
91,0.51,464.4443989,35,57,,,,,,,,12.27272848,,,,,,,46444.43989,,4.644443989
92,0.349,280.143261,0,1,,,,,,,,0.35696022,,,,,,,28014.3261,,2.80143261
93,0.358,161.6597176,18,58,,,,,,,,35.87783083,,,,,,,16165.97176,,1.616597176
94,0.42,479.3407917,0,120,,,,,,,,25.03438098,,,,,,,47934.07917,,4.793407917
95,0.372,341.3090706,0,105,,,,,,,,30.76390552,,,,,,,34130.90706,,3.413090706
96,0.45,450.2727985,0,58,,,,,,,,12.88108013,,,,,,,45027.27985,,4.502727985
99,0.408,418.2724953,0,61,,,,,,,,14.58379422,,,,,,,41827.24953,,4.182724953
100,0.436,419.3732738,0,82,,,,,,,,19.55298659,,,,,,,41937.32738,,4.193732738
101,0.387,347.1786976,0,82,,,,,,,,23.61896066,,,,,,,34717.86976,,3.471786976
102,0.3895,346.0018635,0,89,,,,,,,,25.72240482,,,,,,,34600.18635,,3.460018635
103,0.332,328.130722,0,94,,,,,,,,28.64711949,,,,,,,32813.0722,,3.28130722
104,0.3475,256.2718391,29,107,,,,,,,,41.75253917,,,,,,,25627.18391,,2.562718391
106,0.392,444.817543,0,128,,,,,,,,28.77584349,,,,,,,44481.7543,,4.44817543
107,0.3575,296.933651,0,30,,,,,,,,10.10326714,,,,,,,29693.3651,,2.96933651
108,0.3975,409.0895653,0,85,,,,,,,,20.77784603,,,,,,,40908.95653,,4.090895653
113,0.3705,297.475338,0,4,,,,,,,,1.344649283,,,,,,,29747.5338,,2.97475338
115,0.4095,248.026371,29,58,,,,,,,,23.38461018,,,,,,,24802.6371,,2.48026371
117,0.396,408.6680412,0,81,,,,,,,,19.82048798,,,,,,,40866.80412,,4.086680412
120,0.528,178.3230305,28,47,,,,,,,,26.35666289,,,,,,,17832.30305,,1.783230305
122,0.4465,368.6244488,8,58,,,,,,,,15.7341707,,,,,,,36862.44488,,3.686244488
123,0.5375,545.3970432,0,91,,,,,,,,16.68509229,,,,,,,54539.70432,,5.453970432
126,0.39,351.4389992,0,77,,,,,,,,21.90991898,,,,,,,35143.89992,,3.514389992
127,0.3865,353.3000946,0,38,,,,,,,,10.75572879,,,,,,,35330.00946,,3.533000946
129,0.419,370.0990677,0,33,,,,,,,,8.916531513,,,,,,,37009.90677,,3.700990677
130,0.3865,419.0642834,0,121,,,,,,,,28.87385177,,,,,,,41906.42834,,4.190642834
132,0.414,375.86236,0,68,,,,,,,,18.09172911,,,,,,,37586.236,,3.7586236
135,0.3595,381.7486763,0,113,,,,,,,,29.60062654,,,,,,,38174.86763,,3.817486763
137,0.3655,378.4780502,0,91,,,,,,,,24.04366646,,,,,,,37847.80502,,3.784780502
138,0.457,316.1399364,17,66,,,,,,,,20.87683092,,,,,,,31613.99364,,3.161399364
140,0.4105,433.1490993,0,34,,,,,,,,7.8494911,,,,,,,43314.90993,,4.331490993
142,0.379,221.3494778,10,61,,,,,,,,27.55823082,,,,,,,22134.94778,,2.213494778
143,0.578,582.1382999,0,91,,,,,,,,15.63202421,,,,,,,58213.82999,,5.821382999
147,0.394,389.9691105,19,113,,,,,,,,28.97665404,,,,,,,38996.91105,,3.899691105
148,0.3685,339.9226665,0,97,,,,,,,,28.5359023,,,,,,,33992.26665,,3.399226665
149,0.388,343.1041241,18,57,,,,,,,,16.6130326,,,,,,,34310.41241,,3.431041241
151,0.388,377.2449493,0,59,,,,,,,,15.63970574,,,,,,,37724.49493,,3.772449493
153,0.4605,418.7569618,0,68,,,,,,,,16.238536,,,,,,,41875.69618,,4.187569618
154,0.388,363.7022972,0,55,,,,,,,,15.12225807,,,,,,,36370.22972,,3.637022972
155,0.513,433.7925911,0,36,,,,,,,,8.298896924,,,,,,,43379.25911,,4.337925911
156,0.381,392.7202225,0,79,,,,,,,,20.11610186,,,,,,,39272.02225,,3.927202225
158,0.44,400.1202583,0,75,,,,,,,,18.74436459,,,,,,,40012.02583,,4.001202583
159,0.456,373.4693527,0,5,,,,,,,,1.33879794,,,,,,,37346.93527,,3.734693527
160,0.3695,390.3119564,0,85,,,,,,,,21.77745227,,,,,,,39031.19564,,3.903119564
161,0.395,258.0654621,7,79,,,,,,,,30.61238779,,,,,,,25806.54621,,2.580654621
162,0.3575,362.7548218,0,95,,,,,,,,26.18848718,,,,,,,36275.48218,,3.627548218
164,0.476,364.8517132,0,21,,,,,,,,5.755763024,,,,,,,36485.17132,,3.648517132
165,0.4505,439.2464161,0,19,,,,,,,,4.325590216,,,,,,,43924.64161,,4.392464161
166,0.377,344.2392349,0,93,,,,,,,,27.01609537,,,,,,,34423.92349,,3.442392349
168,0.4125,425.1964092,0,71,,,,,,,,16.69816547,,,,,,,42519.64092,,4.251964092
170,0.4885,444.0021515,0,83,,,,,,,,18.69360311,,,,,,,44400.21515,,4.440021515
172,0.4365,422.6036072,10,81,,,,,,,,19.16689745,,,,,,,42260.36072,,4.226036072
174,0.413,373.061657,0,52,,,,,,,,13.93871469,,,,,,,37306.1657,,3.73061657
176,0.4045,308.8846207,25,92,,,,,,,,29.78458422,,,,,,,30888.46207,,3.088846207
