Seed,Density,Execution Time,Path Length,Visited,min path,max path,min visited,max visited,norm path,norm visited,cost,optimality
1188,0.4235,19.22440529,92,2817,,,,,0.066666667,0.358513481,0.154220711,6.484171355
1189,0.3795,19.18768883,92,2822,,,,,0.066666667,0.359727957,0.154585054,6.46888885
1190,0.416,22.78661728,100,3386,,,,,0.333333333,0.496720913,0.382349607,2.61540058
1191,0.42,14.20664787,90,2128,,,,,0,0.191158611,0.057347583,17.43722241
1193,0.4015,15.18559456,96,2267,,,,,0.2,0.224921059,0.207476318,4.819803972
1194,0.3805,12.01033592,94,1788,,,,,0.133333333,0.108574205,0.125905595,7.94239573
1196,0.3735,14.32991028,94,2134,,,,,0.133333333,0.192615983,0.151118128,6.617295988
1198,0.569,12.33029366,92,1842,,,,,0.066666667,0.121690551,0.083173832,12.02286768
1199,0.371,16.92891121,90,2493,,,,,0,0.2798154,0.08394462,11.91247383
1200,0.4365,22.07994461,96,3256,,,,,0.2,0.465144523,0.279543357,3.57724982
1203,0.3825,15.16318321,90,2262,,,,,0,0.223706582,0.067111975,14.90024848
1204,0.3985,20.73693275,92,3072,,,,,0.066666667,0.420451785,0.172802202,5.786929796
1207,0.4565,15.61260223,94,2321,,,,,0.133333333,0.238037406,0.164744555,6.069966497
1210,0.3635,17.1444416,90,2543,,,,,0,0.291960165,0.08758805,11.41695229
1213,0.3355,15.49577713,90,2265,,,,,0,0.224435268,0.067330581,14.85187177
1214,0.403,17.89975166,92,2646,,,,,0.066666667,0.316978382,0.141760181,7.054117287
1216,0.385,16.30330086,90,2387,,,,,0,0.254068496,0.076220549,13.11964941
1218,0.435,18.22209358,96,2713,,,,,0.2,0.333252368,0.23997571,4.167071038
1222,0.4535,17.13681221,92,2512,,,,,0.066666667,0.28443041,0.13199579,7.57594182
1223,0.3775,19.89459991,94,2881,,,,,0.133333333,0.374058781,0.205550968,4.864949784
1224,0.4075,19.27685738,96,2773,,,,,0.2,0.347826087,0.244347826,4.092509942
1225,0.4215,20.65467834,92,2974,,,,,0.066666667,0.396648045,0.16566108,6.036384425
1228,0.3675,18.22757721,94,2807,,,,,0.133333333,0.356084528,0.200158692,4.996010895
1229,0.379,18.27073097,90,2723,,,,,0,0.335681321,0.100704396,9.929954458
1230,0.3315,27.23050117,94,3835,,,,,0.133333333,0.605780908,0.275067606,3.635456678
1231,0.5345,17.04597473,92,2500,,,,,0.066666667,0.281515667,0.131121367,7.62646393
1232,0.418,19.28448677,96,2834,,,,,0.2,0.362642701,0.24879281,4.0193926
1233,0.443,12.49885559,96,1879,,,,,0.2,0.130677678,0.179203303,5.580223137
1235,0.3595,16.88146591,90,2495,,,,,0,0.28030119,0.084090357,11.89182854
1236,0.399,21.96931839,96,3257,,,,,0.2,0.465387418,0.279616225,3.576317584
1237,0.432,13.54622841,90,2004,,,,,0,0.161039592,0.048311878,20.69841521
1239,0.4885,15.44594765,90,2284,,,,,0,0.229050279,0.068715084,14.55263375
1241,0.3875,16.66736603,90,2431,,,,,0,0.26475589,0.079426767,12.59005556
1243,0.3975,17.93885231,90,2632,,,,,0,0.313577848,0.094073354,10.62988959
1244,0.3995,16.24727249,90,2422,,,,,0,0.262569832,0.07877095,12.6948743
1245,0.362,19.12593842,90,2769,,,,,0,0.346854506,0.104056352,9.61008505
1246,0.387,18.27931404,92,2663,,,,,0.066666667,0.321107603,0.142998947,6.993009563
1250,0.4085,15.7456398,90,2339,,,,,0,0.242409521,0.072722856,13.75064592
1251,0.4475,18.54705811,90,2681,,,,,0,0.325479718,0.097643915,10.24118865
1252,0.4445,15.31791687,92,2278,,,,,0.066666667,0.227592907,0.114944539,8.699772166
1254,0.3805,18.20731163,90,2653,,,,,0,0.31867865,0.095603595,10.45974832
1255,0.349,17.50659943,90,2574,,,,,0,0.29948992,0.089846976,11.12991127
1257,0.41,15.18106461,98,2213,,,,,0.266666667,0.211804712,0.25020808,3.99665751
1258,0.353,21.15464211,96,3104,,,,,0.2,0.428224435,0.268467331,3.724834128
1259,0.4465,14.53971863,94,2174,,,,,0.133333333,0.202331795,0.154032872,6.492078581
1260,0.413,13.58866692,92,2044,,,,,0.066666667,0.170755404,0.097893288,10.2151006
1263,0.377,15.36917686,90,2266,,,,,0,0.224678164,0.067403449,14.83581593
1267,0.417,12.9635334,90,1942,,,,,0,0.145980083,0.043794025,22.83364389
1270,0.365,20.84136009,96,3039,,,,,0.2,0.41243624,0.263730872,3.791729807
1271,0.4375,16.08490944,94,2339,,,,,0.133333333,0.242409521,0.16605619,6.022021698
1276,0.3525,18.90540123,94,2754,,,,,0.133333333,0.343211076,0.196296656,5.094304332
1277,0.359,15.41948318,90,2270,,,,,0,0.225649745,0.067694923,14.77193823
1278,0.408,13.54646683,96,1980,,,,,0.2,0.155210104,0.186563031,5.360090007
1279,0.397,21.72112465,98,3195,,,,,0.266666667,0.450327909,0.321765039,3.107848181
1280,0.446,23.96559715,98,3527,,,,,0.266666667,0.530969152,0.345957412,2.890520838
1281,0.4015,18.71776581,92,2696,,,,,0.066666667,0.329123148,0.145403611,6.877360992
1282,0.3835,16.77727699,90,2521,,,,,0,0.286616468,0.08598494,11.62980825
1284,0.475,24.91903305,110,3710,,,,,0.666666667,0.575418994,0.639292365,1.56422709
1288,0.445,13.68236542,92,2055,,,,,0.066666667,0.173427253,0.098694843,10.13213905
1289,0.365,16.93606377,90,2489,,,,,0,0.278843818,0.083653145,11.95398021
1292,0.3645,17.5242424,90,2589,,,,,0,0.30313335,0.090940005,10.99613977
1293,0.4235,15.77472687,92,2370,,,,,0.066666667,0.249939276,0.12164845,8.220341349
1295,0.414,24.42455292,96,3662,,,,,0.2,0.563760019,0.309128006,3.234895403
1298,0.4045,17.56310463,92,2565,,,,,0.066666667,0.297303862,0.135857825,7.360581824
1299,0.398,18.67508888,92,2725,,,,,0.066666667,0.336167112,0.1475168,6.778842948
1300,0.379,17.87114143,90,2607,,,,,0,0.307505465,0.09225164,10.83979824
1301,0.4035,18.76878738,90,2734,,,,,0,0.33835317,0.101505951,9.851542094
1302,0.555,15.96617699,94,2359,,,,,0.133333333,0.247267428,0.167513562,5.969630282
1303,0.364,18.90397072,92,2765,,,,,0.066666667,0.345882924,0.150431544,6.647497765
1304,0.5285,26.66687965,114,4072,,,,,0.8,0.663347097,0.759004129,1.317514153
1305,0.4205,17.04549789,90,2536,,,,,0,0.290259898,0.087077969,11.48382907
1307,0.3315,21.73447609,90,2974,,,,,0,0.396648045,0.118994413,8.403685246
1310,0.42,18.54801178,92,2721,,,,,0.066666667,0.335195531,0.147225326,6.792263503
1311,0.406,17.65561104,90,2574,,,,,0,0.29948992,0.089846976,11.12991127
1313,0.386,18.77069473,90,2674,,,,,0,0.323779451,0.097133835,10.29496778
1315,0.618,15.28000832,94,2244,,,,,0.133333333,0.219334467,0.159133673,6.283985625
1316,0.3565,24.61218834,96,3527,,,,,0.2,0.530969152,0.299290746,3.341221448
1322,0.44,20.90477943,102,2992,,,,,0.4,0.40102016,0.400306048,2.498082421
1324,0.4465,17.53163338,94,2555,,,,,0.133333333,0.294874909,0.181795806,5.500646694
1327,0.3675,16.86835289,92,2433,,,,,0.066666667,0.265241681,0.126239171,7.921408794
1328,0.584,12.55607605,90,1849,,,,,0,0.123390819,0.037017246,27.01370594
1329,0.4355,18.52226257,98,2667,,,,,0.266666667,0.322079184,0.283290422,3.529933923
1331,0.399,15.2118206,90,2196,,,,,0,0.207675492,0.062302648,16.05042464
1332,0.3945,20.93052864,98,3025,,,,,0.266666667,0.409035706,0.309377378,3.232287936
1335,0.368,19.24991608,90,2739,,,,,0,0.339567646,0.101870294,9.816308026
1336,0.455,19.33407784,96,2755,,,,,0.2,0.343453971,0.243036191,4.114596594
1337,0.5165,16.96872711,94,2457,,,,,0.133333333,0.271071168,0.174654684,5.725550856
1338,0.39,15.73324203,90,2286,,,,,0,0.22953607,0.068860821,14.52183497
1339,0.394,16.51549339,92,2409,,,,,0.066666667,0.259412193,0.124490325,8.032688243
1340,0.369,15.26665688,90,2192,,,,,0,0.206703911,0.062011173,16.12586608
1341,0.346,18.86296272,92,2669,,,,,0.066666667,0.322564974,0.143436159,6.971694133
